ItinID;MktID;MktCoupons;Year;Quarter;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;Origin;OriginCountry;OriginStateFips;OriginState;OriginStateName;OriginWac;DestAirportID;DestAirportSeqID;DestCityMarketID;Dest;DestCountry;DestStateFips;DestState;DestStateName;DestWac;AirportGroup;WacGroup;TkCarrierChange;TkCarrierGroup;OpCarrierChange;RPCarrier;TkCarrier;OpCarrier;BulkFare;Passengers;MktFare;MktDistance;MktDistanceGroup;MktMilesFlown;NonStopMiles;ItinGeoType;MktGeoType
201513819406;20151381940602;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;608;19;0.0;1;0.0;0;0;0;0.0;2.0;5.53;1390.0;3;2239.0;2218.0;2;2
201513819407;20151381940701;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;192.09;2218.0;5;2218.0;2218.0;2;2
201513819407;20151381940702;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;608;19;0.0;1;0.0;0;0;0;0.0;1.0;193.91;1390.0;3;2239.0;2218.0;2;2
201513819408;20151381940801;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;202.54;2218.0;5;2218.0;2218.0;2;2
201513819408;20151381940802;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;608;19;0.0;1;0.0;0;0;0;0.0;1.0;204.46;1390.0;3;2239.0;2218.0;2;2
201513819409;20151381940901;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;2.0;213.49;2218.0;5;2218.0;2218.0;2;2
201513819409;20151381940902;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;608;19;0.0;1;0.0;0;0;0;0.0;2.0;215.51;1390.0;3;2239.0;2218.0;2;2
201513819410;20151381941001;1;2015;1;13204;1320402;31454;10;0;12;5;5;33;12892;1289203;32575;4;0;6;4;4;91;101;22;0.0;0;0.0;0;0;0;0.0;1.0;275.2;2218.0;5;2218.0;2218.0;2;2
201513819410;20151381941002;2;2015;1;12892;1289203;32575;0;0;6;0;0;91;13204;1320402;31454;17;0;12;8;8;33;608;19;0.0;1;0.0;0;0;0;0.0;1.0;277.8;1390.0;3;2239.0;2218.0;2;2
201513819411;20151381941101;2;2015;1;13204;1320402;31454;10;0;12;5;5;33;12889;1288903;32211;14;0;32;10;10;85;4877;2622;0.0;1;0.0;0;0;0;0.0;1.0;5.0;2218.0;5;2454.0;2039.0;2;2
